City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Joao Da Barra,BR,2022-01-26 01:14:41,-21.6403,-41.0511,75.43,90,4,9.15
68,Oranjemund,NA,2022-01-26 01:11:54,-28.55,16.4333,63.86,92,26,13.62
69,Tiquisio,CO,2022-01-26 01:14:41,8.5597,-74.2669,77.49,86,100,3.53
70,Ust-Maya,RU,2022-01-26 01:14:42,60.4167,134.5333,-15.77,96,100,0.51
71,Saldanha,ZA,2022-01-26 01:14:42,-33.0117,17.9442,62.85,89,0,17.67
72,Rantepao,ID,2022-01-26 01:14:28,-2.9701,119.8978,77.67,67,100,1.12
73,Molodizhne,UA,2022-01-26 01:14:43,48.1773,32.6601,13.75,94,100,5.48
74,Mar Del Plata,AR,2022-01-26 01:14:31,-38.0023,-57.5575,75.09,98,100,5.99
75,Paracuru,BR,2022-01-26 01:14:43,-3.41,-39.0306,81.1,76,99,9.26
76,Nome,US,2022-01-26 01:14:44,64.5011,-165.4064,-7.53,84,20,0.0
77,Puerto Ayora,EC,2022-01-26 01:14:44,-0.7393,-90.3518,73.87,88,76,6.35
78,Yumen,CN,2022-01-26 01:14:45,40.2833,97.2,16.39,51,91,8.59
79,Reinosa,ES,2022-01-26 01:14:46,42.9996,-4.138,34.21,80,0,4.56
80,Muscat,OM,2022-01-26 01:09:52,23.6139,58.5922,60.82,65,0,6.2
81,Castro,BR,2022-01-26 01:14:46,-24.7911,-50.0119,66.42,64,6,4.56
82,Hasaki,JP,2022-01-26 01:14:47,35.7333,140.8333,39.6,85,100,19.37
83,Berlesti,RO,2022-01-26 01:14:47,44.9167,23.6667,22.68,61,6,1.86
84,Pisco,PE,2022-01-26 01:14:44,-13.7,-76.2167,68.05,83,0,18.41
85,Deputatskiy,RU,2022-01-26 01:13:14,69.3,139.9,-31.65,99,35,5.46
86,Cherskiy,RU,2022-01-26 01:14:48,68.75,161.3,-42.43,99,75,5.32
87,Ambilobe,MG,2022-01-26 01:14:49,-13.2,49.05,71.71,94,100,2.59
88,Norman Wells,CA,2022-01-26 01:14:49,65.282,-126.8329,37.2,78,100,19.62
89,Kodiak,US,2022-01-26 01:14:50,57.79,-152.4072,31.51,51,0,8.05
90,Yerbogachen,RU,2022-01-26 01:14:50,61.2767,108.0108,-19.64,100,98,3.44
91,Guadalupe,MX,2022-01-26 01:14:51,25.6833,-100.25,69.15,49,0,6.91
92,Nanortalik,GL,2022-01-26 01:15:51,60.1432,-45.2371,26.4,93,100,9.06
93,Shwebo,MM,2022-01-26 01:15:52,22.5667,95.7,59.74,80,65,6.06
94,Port Hardy,CA,2022-01-26 01:15:28,50.6996,-127.4199,40.75,93,75,8.05
95,Nikolskoye,RU,2022-01-26 01:15:52,59.7035,30.7861,13.91,99,71,3.15
96,Yulara,AU,2022-01-26 01:15:53,-25.2406,130.9889,91.24,46,100,11.5
97,Gornopravdinsk,RU,2022-01-26 01:15:53,60.05,69.9,-3.39,100,100,4.85
98,Rio Gallegos,AR,2022-01-26 01:11:17,-51.6226,-69.2181,51.85,40,20,17.27
99,Buchanan,LR,2022-01-26 01:15:54,5.8808,-10.0467,77.41,86,5,2.35
100,Leningradskiy,RU,2022-01-26 01:15:54,69.3833,178.4167,-26.91,86,25,4.38
101,Taldan,RU,2022-01-26 01:15:55,53.6667,124.8,-3.95,86,17,4.21
102,Sola,VU,2022-01-26 01:14:11,-13.8833,167.55,81.59,80,99,16.49
103,Jibuti,DJ,2022-01-26 01:15:55,11.5,42.5,67.42,74,4,9.33
104,Hami,CN,2022-01-26 01:15:56,42.8,93.45,21.2,51,3,3.78
