City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Lewistown,40.5992,-77.5714,23.81,57,20,5.75,US,2022-01-26 23:19:23
67,Airai,-8.9266,125.4092,65.19,80,100,3.47,TL,2022-01-26 23:15:02
68,Hobart,-42.8794,147.3294,71.06,65,75,1.99,AU,2022-01-26 23:07:27
69,Kodiak,57.79,-152.4072,35.11,87,100,10.36,US,2022-01-26 23:12:38
70,Mataura,-46.1927,168.8643,57.47,52,44,7.87,NZ,2022-01-26 23:11:29
71,Barrow,71.2906,-156.7887,-11.18,70,0,17.27,US,2022-01-26 23:19:24
72,Tongliao,43.6125,122.2653,-5.26,91,5,5.7,CN,2022-01-26 23:18:10
73,San Patricio,28.017,-97.5169,62.55,63,87,9.84,US,2022-01-26 23:19:25
74,Morehead,37.2711,-87.1764,29.14,38,0,0.0,US,2022-01-26 23:19:25
75,Vila Velha,-20.3297,-40.2925,76.95,78,0,9.22,BR,2022-01-26 23:19:25
76,Chapais,49.7834,-74.8492,-15.02,91,46,9.78,CA,2022-01-26 23:19:26
77,Fez,34.0372,-4.9998,50.11,56,20,2.3,MA,2022-01-26 23:19:09
78,Constantine,36.365,6.6147,36.81,80,0,3.44,DZ,2022-01-26 23:17:33
79,Xining,36.6167,101.7667,16.59,81,100,1.86,CN,2022-01-26 23:19:27
80,Saint George,37.1041,-113.5841,54.07,23,0,3.0,US,2022-01-26 23:17:21
81,Maceio,-9.6658,-35.7353,81.84,78,40,6.91,BR,2022-01-26 23:15:30
82,East London,-33.0153,27.9116,73.8,90,73,4.05,ZA,2022-01-26 23:12:43
83,Christchurch,-43.5333,172.6333,65.91,54,40,13.0,NZ,2022-01-26 23:15:05
84,Yellowknife,62.456,-114.3525,6.42,87,75,0.0,CA,2022-01-26 23:15:18
85,Sangin,32.0728,64.8359,39.65,41,0,6.96,AF,2022-01-26 23:19:28
86,Norman Wells,65.282,-126.8329,1.35,95,53,1.25,CA,2022-01-26 23:06:51
87,Port Elizabeth,-33.918,25.5701,69.1,91,99,4.25,ZA,2022-01-26 23:11:34
88,Dikson,73.5069,80.5464,13.6,93,100,27.87,RU,2022-01-26 23:19:29
89,Bredasdorp,-34.5322,20.0403,65.28,85,92,8.43,ZA,2022-01-26 23:12:35
90,Sturgeon Bay,44.8342,-87.377,7.2,56,0,11.5,US,2022-01-26 23:20:30
91,Bambous Virieux,-20.3428,57.7575,71.22,83,20,3.44,MU,2022-01-26 23:09:51
92,Clyde River,70.4692,-68.5914,-7.37,84,100,29.93,CA,2022-01-26 23:15:42
93,Avarua,-21.2078,-159.775,82.45,83,75,13.8,CK,2022-01-26 23:20:31
94,Kaitangata,-46.2817,169.8464,56.93,52,56,13.44,NZ,2022-01-26 23:20:31
95,Butaritari,3.0707,172.7902,81.79,79,59,14.05,KI,2022-01-26 23:20:32
96,Nouadhibou,20.931,-17.0347,62.58,82,9,17.27,MR,2022-01-26 23:20:32
97,Avera,33.194,-82.5271,53.47,66,74,8.52,US,2022-01-26 23:20:33
98,Kongolo,-5.3833,27.0,70.05,96,100,2.64,CD,2022-01-26 23:20:33
99,Glenwood Springs,39.5505,-107.3248,35.4,45,0,8.05,US,2022-01-26 23:18:23
100,Ribeira Grande,38.5167,-28.7,59.83,78,17,15.12,PT,2022-01-26 23:12:43
101,Kavieng,-2.5744,150.7967,83.82,74,79,8.14,PG,2022-01-26 23:20:34
102,Lompoc,34.6391,-120.4579,69.94,62,0,8.05,US,2022-01-26 23:18:37
103,Balabac,7.9868,117.0645,79.63,84,100,4.7,PH,2022-01-26 23:20:34
104,Hluboka Nad Vltavou,49.0523,14.4343,33.15,89,100,4.7,CZ,2022-01-26 23:20:35
105,Gamba,-2.65,10.0,75.47,91,96,4.72,GA,2022-01-26 23:20:35
106,Lagoa,39.05,-27.9833,58.69,79,6,12.57,PT,2022-01-26 23:20:36
107,Katsuura,35.1333,140.3,44.71,70,74,12.5,JP,2022-01-26 23:15:43
108,Moose Factory,51.2585,-80.6094,8.6,72,100,28.77,CA,2022-01-26 23:20:36
109,Mareeba,-17.0,145.4333,77.72,94,100,2.3,AU,2022-01-26 23:20:37
110,Beisfjord,68.3751,17.5988,29.25,90,93,6.24,NO,2022-01-26 23:20:37
111,Mar Del Plata,-38.0023,-57.5575,65.08,70,20,4.0,AR,2022-01-26 23:20:38
112,Dunedin,-45.8742,170.5036,57.79,65,55,18.01,NZ,2022-01-26 23:20:38
113,Saint-Augustin,51.226,-58.6502,-1.32,83,21,12.84,CA,2022-01-26 23:20:39
114,Soyo,-6.1349,12.3689,78.19,84,98,4.81,AO,2022-01-26 23:20:39
115,Labuhan,-6.8844,112.2051,77.76,89,99,8.34,ID,2022-01-26 23:20:40
116,Vagur,61.4732,-6.8119,38.68,76,99,31.59,FO,2022-01-26 23:20:40
117,Porto Belo,-27.1578,-48.5531,82.38,88,69,10.38,BR,2022-01-26 23:20:41
118,Kasongo-Lunda,-6.4667,16.8167,69.13,97,94,1.97,CD,2022-01-26 23:20:41
119,Hithadhoo,-0.6,73.0833,81.37,74,100,21.7,MV,2022-01-26 23:14:53
120,Adrar,20.5022,-10.0711,67.19,17,56,7.45,MR,2022-01-26 23:20:42
121,Bathsheba,13.2167,-59.5167,75.81,78,75,8.05,BB,2022-01-26 23:20:42
122,Freeport,40.6576,-73.5832,27.01,38,0,1.99,US,2022-01-26 23:16:11
123,Mocuba,-16.8392,36.9856,72.7,90,99,5.17,MZ,2022-01-26 23:20:43
124,Dingle,10.9995,122.6711,76.51,93,60,5.93,PH,2022-01-26 23:20:43
125,Ushirombo,-3.4919,31.9639,63.84,82,27,2.13,TZ,2022-01-26 23:20:44
126,Hilo,19.7297,-155.09,80.33,64,40,9.22,US,2022-01-26 23:11:00
127,Bengkulu,-3.8004,102.2655,76.19,89,100,4.32,ID,2022-01-26 23:16:30
128,Santa Catalina,9.3337,122.8637,79.09,87,34,6.29,PH,2022-01-26 23:20:45
129,Byron Bay,-28.65,153.6167,80.06,60,12,8.81,AU,2022-01-26 23:20:45
130,Sinnamary,5.3833,-52.95,75.61,88,46,7.67,GF,2022-01-26 23:20:45
131,Ciudad Bolivar,8.1222,-63.5497,84.67,35,62,13.4,VE,2022-01-26 23:20:46
